,ndoi,smscg,tide
5/14/1923,19684.78255,1,5.493999958
5/15/1923,19328.57529,1,5.889200211
5/16/1923,18978.72235,1,5.923400402
5/17/1923,18601.42639,1,6.057899952
5/18/1923,18193.65535,1,5.844499588
5/19/1923,17758.42422,1,5.864599705
5/20/1923,17298.74797,1,5.626700401
5/21/1923,16817.64159,1,5.261600018
5/22/1923,16318.12005,1,4.807600021
5/23/1923,15803.19833,1,4.913500309
5/24/1923,15275.89141,1,5.042399883
5/25/1923,14739.21427,1,5.129700184
5/26/1923,14196.18188,1,5.411300182
5/27/1923,13649.80923,1,6.51570034
5/28/1923,13103.11129,1,7.350900173
5/29/1923,12559.10304,1,7.860300064
5/30/1923,12020.79947,1,8.147299767
5/31/1923,11491.21554,1,8.026800156
6/1/1923,10973.36624,1,7.551400185
6/2/1923,10470.26655,1,7.187399864
6/3/1923,9984.931445,1,6.249400139
6/4/1923,9520.375902,1,5.319700241
6/5/1923,9079.614901,1,4.938600063
6/6/1923,8665.663421,1,4.577000141
6/7/1923,8281.53644,1,4.330500126
6/8/1923,7930.248937,1,4.073500156
6/9/1923,7614.81589,1,4.598899841
6/10/1923,7338.252279,1,5.191999912
6/11/1923,7103.573081,1,5.610300064
6/12/1923,6913.793276,1,6.098700047
6/13/1923,6771.927842,1,6.336100101
6/14/1923,6680.991757,1,6.596000195
6/15/1923,6644,1,6.627600193
6/16/1923,6635.401316,1,6.481699944
6/17/1923,6627.597886,1,6.414599895
6/18/1923,6620.534837,1,6.159200191
6/19/1923,6614.157301,1,5.552199841
6/20/1923,6608.410408,1,5.311100006
6/21/1923,6603.239287,1,5.181300163
6/22/1923,6598.589068,1,5.060500145
6/23/1923,6594.404882,1,5.157299995
6/24/1923,6590.631857,1,6.148099899
6/25/1923,6587.215124,1,6.976500034
6/26/1923,6584.099814,1,7.572399616
6/27/1923,6581.231055,1,8.044099808
6/28/1923,6578.553978,1,8.131000519
6/29/1923,6576.013713,1,7.816699982
6/30/1923,6573.555389,1,7.12680006
7/1/1923,6571.124136,0,6.879000187
7/2/1923,6568.665086,0,6.050600052
7/3/1923,6566.123366,0,5.204200268
7/4/1923,6563.444108,0,4.691800117
7/5/1923,6560.572441,0,4.238300323
7/6/1923,6557.453495,0,3.901500225
7/7/1923,6554.0324,0,4.059500217
7/8/1923,6550.254286,0,4.567099571
7/9/1923,6546.064283,0,5.167500019
7/10/1923,6541.407521,0,5.761899948
7/11/1923,6536.229129,0,6.20359993
7/12/1923,6530.474238,0,6.642399788
7/13/1923,6524.087978,0,6.911300182
7/14/1923,6517.015477,0,6.89950037
7/15/1923,6509.201868,0,6.887599945
7/16/1923,6498.900083,0,6.558000088
7/17/1923,6476.28089,0,6.235000134
7/18/1923,6440.565293,0,5.637899876
7/19/1923,6392.708583,0,5.416899681
7/20/1923,6333.666048,0,5.083600044
7/21/1923,6264.392979,0,5.419399738
7/22/1923,6185.844667,0,5.623300076
7/23/1923,6098.9764,0,6.284399986
7/24/1923,6004.743468,0,6.924399853
7/25/1923,5904.101163,0,7.416399956
7/26/1923,5798.004772,0,7.647200108
7/27/1923,5687.409588,0,7.543699741
7/28/1923,5573.270898,0,7.08039999
7/29/1923,5456.543994,0,6.639200211
7/30/1923,5338.184165,0,6.152499676
7/31/1923,5219.1467,0,5.448200226
8/1/1923,5100.386891,0,4.757599831
8/2/1923,4982.860027,0,4.207300186
8/3/1923,4867.521397,0,3.673699856
8/4/1923,4755.326292,0,3.80850029
8/5/1923,4647.230002,0,4.090400219
8/6/1923,4544.187816,0,4.375699997
8/7/1923,4447.155025,0,4.901800156
8/8/1923,4357.086917,0,5.508500099
8/9/1923,4274.938784,0,6.134799957
8/10/1923,4201.665915,0,6.590400219
8/11/1923,4138.223601,0,6.793400288
8/12/1923,4085.56713,0,6.978500366
8/13/1923,4044.651792,0,6.742000103
8/14/1923,4016.432879,0,6.208199978
8/15/1923,4001.865679,0,5.91590023
8/16/1923,4000.359638,0,5.433700085
8/17/1923,4003.165212,0,4.949299812
8/18/1923,4008.593561,0,5.331699848
8/19/1923,4016.453937,0,5.707300186
8/20/1923,4026.555593,0,5.731499672
8/21/1923,4038.707782,0,6.162399769
8/22/1923,4052.719756,0,6.523199558
8/23/1923,4068.400769,0,6.765200138
8/24/1923,4085.560073,0,6.784999847
8/25/1923,4104.006921,0,6.534699917
8/26/1923,4123.550566,0,6.22149992
8/27/1923,4144.00026,0,5.681300163
8/28/1923,4165.165256,0,5.083799839
8/29/1923,4186.854807,0,4.591199875
8/30/1923,4208.878166,0,4.098100185
8/31/1923,4231.044585,0,3.721000195
9/1/1923,4253.163318,1,3.714600086
9/2/1923,4275.043616,1,3.803499937
9/3/1923,4296.494733,1,4.034199715
9/4/1923,4317.325922,1,4.240099907
9/5/1923,4337.346434,1,4.603499889
9/6/1923,4356.365524,1,5.176099777
9/7/1923,4374.192443,1,5.680500031
9/8/1923,4390.636445,1,6.161499977
9/9/1923,4405.506783,1,6.469200134
9/10/1923,4418.612708,1,6.390100002
9/11/1923,4429.763474,1,6.149099827
9/12/1923,4438.768333,1,5.732500076
9/13/1923,4445.436539,1,5.791199684
9/14/1923,4449.577343,1,5.925600052
9/15/1923,4451,1,5.85010004
9/16/1923,4449.577343,1,5.683000088
9/17/1923,4445.436539,1,5.635799885
9/18/1923,4438.768333,1,5.496799946
9/19/1923,4429.763474,1,5.63740015
9/20/1923,4418.612708,1,5.731299877
9/21/1923,4405.506783,1,5.735599995
9/22/1923,4390.636445,1,5.653699875
9/23/1923,4374.192443,1,5.382699966
9/24/1923,4356.365524,1,4.991499901
9/25/1923,4337.346434,1,4.750299931
9/26/1923,4317.325922,1,4.656299591
9/27/1923,4296.494733,1,4.603499889
9/28/1923,4275.043616,1,4.582600117
9/29/1923,4253.163318,1,4.415800095
9/30/1923,4231.044585,1,4.235899925
10/1/1923,4208.878166,1,4.083299637
10/2/1923,4186.854807,1,4.051300049
10/3/1923,4165.165256,1,4.210700035
10/4/1923,4144.00026,1,4.303199768
10/5/1923,4123.550566,1,4.727399826
10/6/1923,4104.006921,1,5.162899971
10/7/1923,4085.560073,1,5.447800159
10/8/1923,4068.400769,1,5.63160038
10/9/1923,4052.719756,1,5.694699764
10/10/1923,4038.707782,1,6.501200199
10/11/1923,4026.555593,1,6.974399567
10/12/1923,4016.453937,1,7.038099766
10/13/1923,4008.593561,1,6.904900074
10/14/1923,4003.165212,1,6.503200054
10/15/1923,4000.359638,1,5.954100132
10/16/1923,4001.215076,1,5.403000355
10/17/1923,4010.697742,1,4.953799725
10/18/1923,4029.054994,1,4.82640028
10/19/1923,4055.652316,1,5.040100098
10/20/1923,4089.85519,1,5.064700127
10/21/1923,4131.029099,1,4.887199879
10/22/1923,4178.539525,1,4.938499928
10/23/1923,4231.751951,1,5.100399971
10/24/1923,4290.03186,1,5.418699741
10/25/1923,4352.744735,1,5.466599941
10/26/1923,4419.256057,1,5.531699657
10/27/1923,4488.931311,1,5.425300121
10/28/1923,4561.135979,1,5.180500031
10/29/1923,4635.235542,1,4.89109993
10/30/1923,4710.595485,1,4.607999802
10/31/1923,4786.58129,1,4.332499981
11/1/1923,4862.558439,1,4.155600071
11/2/1923,4937.892415,1,4.278299809
11/3/1923,5011.948701,1,4.387899876
11/4/1923,5084.092779,1,4.93089962
11/5/1923,5153.690133,1,5.194900036
11/6/1923,5220.106244,1,6.097899914
11/7/1923,5282.706597,1,7.106600285
11/8/1923,5340.856672,1,7.722199917
11/9/1923,5393.921954,1,8.064899445
11/10/1923,5441.267924,1,7.993899822
11/11/1923,5482.260066,1,7.515599728
11/12/1923,5516.263861,1,6.759900093
11/13/1923,5542.644794,1,5.882200241
11/14/1923,5560.768346,1,5.08769989
11/15/1923,5570,1,4.843800068
11/16/1923,5574.360607,1,4.663100243
11/17/1923,5578.313295,1,4.76970005
11/18/1923,5581.886964,1,4.657100201
11/19/1923,5585.110515,1,5.051800251
11/20/1923,5588.012847,1,5.427999973
11/21/1923,5590.622861,1,5.795399666
11/22/1923,5592.969458,1,6.052500248
11/23/1923,5595.081537,1,6.179900169
11/24/1923,5596.987998,1,6.260700226
11/25/1923,5598.717742,1,6.109699726
11/26/1923,5600.299669,1,5.95179987
